Model,model,accuracy,precision,recall,f1,roc_auc
Logistic Regression (Full),Logistic Regression (Tuned),0.7857142857142857,0.7786259541984732,0.8031496062992126,0.7906976744186046,0.8729448818897638
LR (Top Predictors),LR (Top Predictors),0.7738095238095238,0.7611940298507462,0.8031496062992126,0.7816091954022989,0.8620787401574803
LR (Workplace),LR (Workplace Subset),0.626984126984127,0.6434782608695652,0.5826771653543307,0.6115702479338843,0.6669291338582678
LR (Demographics),LR (Demographics Subset),0.6190476190476191,0.6183206106870229,0.6377952755905512,0.627906976744186,0.6305826771653542
Random Forest,Random Forest (Tuned),0.8373015873015873,0.8028169014084507,0.8976377952755905,0.8475836431226765,0.8859212598425198
